Отметка времени;Что бы вы хотели прямо сейчас?;Вы хотите чтобы напиток: ;Кофеин для вас—это…;Какой уровень сладости вам комфортен?;Какое молоко вы предпочитаете?;Объём(если предпочитаете конкретный-укажите);Вам больше нравится:;Любите ли вы чай?;Газированный напиток?;Сколько льда вы предпочитаете в прохладительных напитках?;Как вы относитесь к необычным сочетаниям?;Напиток
17.05.2026 0:22:57;Освежающее;Удивил;Не желательно;Умеренно сладкий;Любое;Большой;Ягодные ноты, Фруктовые ноты, Сладкие специи, Цветочные ноты;Чёрный, Фруктовый;Совсем без газа;Мало льда;Люблю экспериментировать;Ягодный фреш
22.06.2026 18:44:27;Освежающее;Остудил;Не желательно;Умеренно сладкий;Любое;Большой (более 350 мл);Фруктовые ноты;Молочный улун;Совсем без газа;Мало льда;Люблю экзотику;Освежающий лимонад
22.06.2026 18:47:12;Расслабляющее;Остудил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ореховые ноты;Молочный улун;Совсем без газа;Мало льда;Люблю экзотику;Молочный улун с мёдом
22.06.2026 18:48:03;Расслабляющее;Согрел;Желательно, но не принципиально;Предпочитаю несладкие напитки или минимум сиропа;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Цветочные ноты;Молочный улун;Совсем без газа;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Молочный улун с мёдом
22.06.2026 18:54:30;Освежающее;Остудил;Желательно, но не принципиально;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ягодные ноты;Травяной (ромашка, мята и т.п.);Да, сильно газированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
22.06.2026 19:02:50;Расслабляющее;Удивил;Не желательно;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ореховые ноты;Молочный улун;Совсем без газа;Мало льда;Только классика;Молочный улун с мёдом
22.06.2026 19:03:06;Освежающее;Остудил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Молочный улун;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
22.06.2026 19:33:33;Бодрящее;Удивил;Не желательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Зелёный;Слабогазированный;Нет льда;Люблю экзотику;Ягодный фреш
22.06.2026 19:46:54;Освежающее;Удивил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ореховые ноты;Молочный улун;Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
22.06.2026 19:51:09;Бодрящее;Согрел;Не желательно;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ореховые ноты;Зелёный;Совсем без газа;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
